Country,Year,Total,Coal,Oil,Gas,Cement,Flaring,Per Capita
afghanistan,1990.0,2.024326,0.278464,1.271408,0.40304,0.045766,0.025648,0.189281
afghanistan,1991.0,1.914301,0.249627,1.204085,0.389125,0.045766,0.025697,0.178155
afghanistan,1992.0,1.482054,0.021984,1.029584,0.362736,0.045766,0.021984,0.122916
afghanistan,1993.0,1.486943,0.01832,1.047904,0.298744,0.03555,1251.0,0.106182
afghanistan,1994.0,1.453829,0.014693,1.032171,0.337935,0.046991,0.022039,0.094065
afghanistan,1995.0,1.417327,0.014656,1.011264,0.322432,0.046991,0.021984,0.086323
afghanistan,1996.0,1.370104,0.007328,0.985616,0.307776,0.0474,0.021984,0.080092
afghanistan,1997.0,1.304152,0.003664,0.948976,0.282128,0.0474,0.021984,0.073313
afghanistan,1998.0,1.278504,0.003664,0.941648,0.263808,0.0474,0.021984,0.069134
afghanistan,1999.0,1.09164,0.003664,0.776768,0.241824,0.0474,0.021984,0.056671
afghanistan,2000.0,1.047128,0.003664,0.78776,0.223504,0.010216,0.021984,0.053581
afghanistan,2001.0,1.069098,0.069616,0.762112,0.208848,0.006538,0.021984,0.0543
afghanistan,2002.0,1.340995,0.055109,0.727438,0.547416,0.011033,0.021984,0.063856
afghanistan,2003.0,1.559602,0.091813,0.991575,0.466408,0.009807,0.021984,0.068871
afghanistan,2004.0,1.237247,0.0916,0.908672,0.227168,0.009807,0.021984,0.052529
afghanistan,2005.0,1.889507,0.106256,1.44728,0.32976,0.006211,0.021984,0.077403
afghanistan,2006.0,2.159318,0.160944,1.656993,0.329204,0.012177,0.021984,0.084869
afghanistan,2007.0,2.799909,0.747456,1.733072,0.307776,0.011605,0.021984,0.108091
afghanistan,2008.0,4.254477,1.078145,2.864051,0.29704,0.015242,0.021984,0.160989
afghanistan,2009.0,6.391888,1.5141,4.593624,0.271291,0.012872,0.021984,0.233406
afghanistan,2011.0,11.838316,4.180624,7.335328,0.307776,0.014588,0.021984,0.40474
afghanistan,2012.0,10.035314,3.125392,6.573216,0.307776,0.02893,0.021984,0.329389
afghanistan,2013.0,9.25051,3.326912,5.591264,0.296784,0.03555,0.021984,0.293283
afghanistan,2014.0,9.170309,3.705783,5.164638,0.271244,0.028644,0.021984,0.280299
afghanistan,2015.0,9.791093,2.843264,6.624512,0.282128,0.041189,0.021984,0.290076
afghanistan,2016.0,9.067598,2.878736,5.794097,0.318639,0.076126,0.021984,0.261795
afghanistan,2017.0,9.867969,3.447824,6.074912,0.300448,0.044785,0.021984,0.276852
afghanistan,2018.0,10.818048,3.8472,6.620848,0.29312,0.05688,0.021984,0.294876
afghanistan,2019.0,11.081621,3.954767,6.842956,0.245569,0.038329,0.021984,0.293401
afghanistan,2020.0,2311.0,4.150072,7.219776,0.251244,0.03555,0.021984,0.16782856666666668
afghanistan,2021.0,11.874211,4.203536,7.41957,0.238847,0.012259,0.021984,0.296119
albania,1990.0,5.520602,2.498848,2.172752,0.465328,0.383674,0.0127185,1.675415
albania,1991.0,4.290226,1.480256,2.227712,0.2748,0.307458,0.0127185,1.299249
albania,1992.0,2.517116,0.799927,1.416384,0.198147,0.102659,0.0127185,0.761899
albania,1993.0,2.337999,0.599947,1.477918,0.157303,0.102831,0.0127185,0.708332
albania,1994.0,1.923806,0.168544,1.604832,0.098928,0.051502,0.0127185,0.584034
albania,1995.0,2.089065,0.161216,1.773376,0.051296,0.103177,0.0127185,0.636064
albania,1996.0,2.017508,0.113584,1.755056,0.043968,0.1049,0.0127185,0.616724
albania,1997.0,1.543009,0.043968,1.41064,0.03664,0.051761,0.0127185,0.474229
albania,1998.0,1.754709,0.054845,1.623405,0.032907,0.043552,0.0127185,0.542888
albania,1999.0,2.986196,0.110056,2.791742,0.029348,0.05505,0.0127185,0.930784
albania,2000.0,3.024926,0.069531,2.839801,0.021957,0.093637,0.0127185,0.95063
albania,2001.0,3.220656,0.080608,3.125392,0.014656,0.383674,0.0127185,1.021259
albania,2002.0,3.748272,0.084272,3.638352,0.025648,0.383674,0.0127185,1.200003
albania,2003.0,4.303499,0.084272,3.891168,0.025648,0.302411,0.0127185,1.391371
albania,2004.0,4.176684,0.084272,3.759264,0.032976,0.300172,0.0127185,1.363761
albania,2005.0,4.261413,0.073216,3.90974,0.021965,0.256492,0.0127185,1.405185
albania,2006.0,3.910715,0.07321,3.539714,0.021963,0.275828,0.0127185,1.302102
albania,2007.0,3.94897,0.07321,3.374978,0.032944,0.467837,0.0127185,1.326901
albania,2008.0,4.397043,0.102592,3.795904,0.014656,0.483891,0.0127185,1.48967
albania,2009.0,4.406552,0.388384,3.414848,0.01832,0.585,0.0127185,1.503665
albania,2010.0,4.783865,0.428688,3.491792,0.025648,0.837737,0.0127185,1.642022
albania,2011.0,5.314676,0.534944,3.77392,0.029312,0.9765,0.0127185,1.832234
albania,2012.0,4.85006,0.626544,3.154704,0.029312,1.0395,0.0127185,1.676949
albania,2013.0,5.287466,0.795088,3.330576,0.032976,1.1286,0.000226,1.831465
albania,2014.0,5.999658,1.028913,3.855679,0.058586,1.0449,0.011581,2.080252
albania,2015.0,4.712137,0.322432,3.337904,0.062288,0.954113,0.0354,1.634751
albania,2016.0,4.631977,0.190528,3.359888,0.161216,0.88047,0.039875,1.607732
albania,2017.0,5.564149,0.274609,4.078863,0.168427,1.011492,0.030757,1.932429
albania,2018.0,4.984045,0.472656,3.330576,0.150224,1.016733,0.013856,1.732368
albania,2019.0,4.947485,0.322432,3.440496,0.131904,1.048179,0.004474,1.721533
albania,2020.0,4.728559,0.331439,3.217576,0.131178,1.048179,0.000188,1.649392
algeria,1990.0,76.737628,2.942192,23.204112,38.908016,2.988636,8.694672,3.007187
algeria,1991.0,78.806834,2.689376,26.065696,38.428032,2.969362,8.654368,3.015502
algeria,1992.0,79.883305,2.377936,28.678128,31.93176,2.997929,13.897552,2.986481
algeria,1993.0,81.94397,1.9236,27.99296,36.097728,2.988434,12.941248,2.995649
algeria,1994.0,86.147476,2.286238,30.450203,37.385859,2.820683,13.204492,3.083633
algeria,1995.0,94.981417,1.934592,27.080624,47.221632,3.165241,15.579328,3.335253
algeria,1997.0,117.86157192592592,1.381328,30.019152,2878.0,3.271314,13.325968,2119.0
algeria,1998.0,106.62101,2.110464,33.089584,54.641232,3.446434,13.333296,3.562981
algeria,2000.0,82.22101,1.96024,26.827808,38.534288,3.789426,11.109248,2.671715
algeria,2001.0,83.780203,2.095808,28.458288,41.029472,3.765771,8.430864,2.685178
algeria,2002.0,89.406933,2.608768,29.4952,44.653168,4.057717,8.59208,2.827124
algeria,2003.0,91.048404,2.788304,2944.0,1756.0,7.000746,8.258656,81.75056322222223
algeria,2005.0,106.472836,2.36328,31.0524,61.210784,5.66154,6.184832,3.23069
algeria,2006.0,100.202857,2.700368,35.233024,49.306448,6.540025,6.422992,2.996938
algeria,2007.0,108.401946,3.011808,38.321776,51.07616,7.000746,8.991456,3.18981
algeria,2008.0,109.031978,3.008246,37.363073,51.550561,7.583376,9.526722,3.153985
algeria,2009.0,120.184849,1.59384,44.891328,54.894048,8.220337,10.585296,3.414727
algeria,2010.0,117.81301,1.216486,45.365407,53.367834,8.25231,9.610973,3.285695
algeria,2011.0,119.807538,1.047872,46.919737,56.720635,8.18722,6.932074,3.278487
algeria,2012.0,135.674294,1.036882,48.539276,64.114493,7.696658,14.286985,3.64123
algeria,2013.0,140.786376,0.725472,51.91888,65.450032,7.29842,15.393572,3.704844
algeria,2014.0,151.282783,0.545922,52.88481,73.831357,7.667871,16.352823,3.903048
algeria,2015.0,160.08745,0.501968,55.590208,78.768672,8.062014,17.164588,4.048424
algeria,2016.0,158.748363,1.934592,54.626576,78.677072,9.371843,16.072872,3.935325
algeria,2018.0,173.911594,1.330002,54.922121,88.886635,12.381661,16.391175,4.147961
algeria,2019.0,179.504831,1.095512,59.157648,91.24992,11.028039,16.973712,4.203332
algeria,2020.0,172.504477,1.098537,54.540075,88.30831,11.028039,17.529515,3.970031
algeria,2021.0,176.26907,1.095536,56.020598,92.791955,11.028039,15.332942,3.989977
argentina,1990.0,112.079088,3.070432,59.188256,43.213216,1.822,4.785184,3.434042
argentina,1991.0,117.505744,2.689376,61.232768,47.28392,2.196,4.10368,3.549404
argentina,1992.0,121.230584,2.80296,63.632688,48.302512,2.495,3.997424,3.611462
argentina,1993.0,117.777485,2.301136,67.154325,40.808519,2.761,4.752505,3.461271
argentina,1994.0,122.229002,3.561301,67.203064,42.676987,3.05,5.737651,3.544031
argentina,1995.0,127.764859,3.700747,62.835745,53.195483,2.621,5.411884,3.656054
argentina,1996.0,134.76207,3.099659,65.92089,57.541551,2.422,5.77797,3.807982
argentina,1997.0,137.641464,2.777312,66.868,61.503904,3.169,3.323248,3.843019
argentina,1998.0,139.451896,2.8396,69.575696,61.613824,3.283,2.139776,3.848733
argentina,1999.0,147.285131,2.154486,72.724888,67.620808,3.29,1.494949,4.018362
argentina,2000.0,142.358347,1.656171,67.433997,69.438256,2.771,1.058923,3.840177
argentina,2001.0,134.003944,1.289728,64.336176,64.808832,2.481,1.088208,3.575298
argentina,2002.0,124.392348,1.099232,57.497185,62.619608,3.399236,1.4930984999999999,2598.0
